"Application: Tecan i-control","...2","...3","...4","Tecan i-control , 1.5.14.0","...6","...7","...8","...9","...10","...11","...12","...13"
"Device: infinite 500",NA,NA,NA,"Serial number: 901001915",NA,NA,NA,"Serial number of connected stacker:",NA,NA,NA,NA
"Firmware: V_1.30_05/2007_I500F (May 18 2007/14.36.50)",NA,NA,NA,"MAI, V_1.30_05/2007_I500F (May 18 2007/14.36.50)",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Date:","42324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Time:","6:05:13 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"System",NA,NA,NA,"SUNY-BDA5649A54",NA,NA,NA,NA,NA,NA,NA,NA
"User",NA,NA,NA,"SUNY-BDA5649A54\Aaron",NA,NA,NA,NA,NA,NA,NA,NA
"Plate",NA,NA,NA,"Corning 96 Flat Bottom Transparent Polystyrol  [COS96ft.pdfx]",NA,NA,NA,NA,NA,NA,NA,NA
"Plate-ID (Stacker)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comment",NA,NA,NA,"LAA-E2-S1-T10-P1",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Label: OD600_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mode",NA,NA,NA,"Absorbance",NA,NA,NA,NA,NA,NA,NA,NA
"Wavelength",NA,NA,NA,"600","nm",NA,NA,NA,NA,NA,NA,NA
"Bandwidth",NA,NA,NA,"0","nm",NA,NA,NA,NA,NA,NA,NA
"Number of Flashes",NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA
"Settle Time",NA,NA,NA,"0","ms",NA,NA,NA,NA,NA,NA,NA
"Start Time:","11/16/2015 6:05:13 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Temperature: 34 °C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"<>","1",2,3,"4","5",6,7,"8",9,10,11,12
"A","0.20600000023841858",0.243699997663498,0.282099992036819,"4.309999942779541E-2","0.25139999389648438",0.0908999964594841,0.179700002074242,"0.10779999941587448",0.0390999987721443,0.0390999987721443,0.0403999984264374,0.0421000011265278
"B","0.30370000004768372",0.366400003433228,0.320800006389618,"4.309999942779541E-2","0.35109999775886536",0.09009999781847,0.0680999979376793,"9.0300001204013824E-2",0.0421000011265278,0.0395000018179417,0.0395000018179417,0.0373000018298626
"C","0.30669999122619629",0.370700001716614,0.234200000762939,"4.3699998408555984E-2","0.37349998950958252",0.094700001180172,0.269300013780594,"0.18250000476837158",0.0428999997675419,0.0403000004589558,0.0405000001192093,0.0388999991118908
"D","4.1700001806020737E-2",0.0406999997794628,0.0417999997735023,"4.2700000107288361E-2","4.2100001126527786E-2",0.0405000001192093,0.0410999990999699,"0.16599999368190765",0.0439999997615814,0.0458999983966351,0.0419999994337559,0.0401999987661839
"E","4.0800001472234726E-2",0.0403999984264374,0.0423000007867813,"5.7300001382827759E-2","5.5900000035762787E-2",0.0417999997735023,0.0403999984264374,"0.20319999754428864",0.0419000014662743,0.0412999987602234,0.0428999997675419,0.0406999997794628
"F","4.1700001806020737E-2",0.0414999984204769,0.0406999997794628,"0.13040000200271606","4.2899999767541885E-2",0.0447000004351139,0.0436000004410744,"0.20419999957084656",0.0511000007390976,0.0441000014543533,0.0439000017940998,0.162599995732307
"G","0.2215999960899353",0.236200004816055,0.257299989461899,"4.8399999737739563E-2","4.2700000107288361E-2",0.226300001144409,0.0397999994456768,"0.20649999380111694",0.0467000007629395,0.0425999984145164,0.060699999332428,0.0401999987661839
"H","0.226500004529953",0.23139999806881,0.244599997997284,"4.309999942779541E-2","4.0899999439716339E-2",0.226999998092651,0.0403000004589558,"0.23260000348091125",0.0410999990999699,0.0427000001072884,0.0423999987542629,0.048200000077486
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"End Time:","11/16/2015 6:05:55 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Movement",NA,NA,NA,"Move Plate Out",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Custom Action",NA,NA,NA,"Take Plate",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Movement",NA,NA,NA,"Move Plate In",NA,NA,NA,NA,NA,NA,NA,NA
